,Issuer
0,中国建设银行股份有限公司
1,力诺集团股份有限公司
2,恒天海龙股份有限公司
3,协鑫集成科技股份有限公司
4,江西赛维LDK太阳能高科技有限公司
5,华锐风电科技(集团)股份有限公司
6,中科云网科技集团股份有限公司
7,珠海中富实业股份有限公司
8,河南中孚实业股份有限公司
9,中伟(徐州)新型材料科技有限公司
10,江苏恒顺达生物能源有限公司
11,天津市天联滨海复合材料有限公司
12,华珠(泉州)鞋业有限公司
13,中国第二重型机械集团有限公司
14,国机重型装备集团股份有限公司
15,东飞马佐里纺机有限公司
16,内蒙古奈伦集团股份有限公司
17,保定天威集团有限公司
18,江苏大宏纺织集团股份有限公司
19,中国中钢股份有限公司
20,鄂尔多斯市华研投资集团有限责任公司
21,内蒙古恒达公路发展有限公司
22,银基烯碳新材料集团股份有限公司
23,广西有色金属集团有限公司
24,河南万基铝业股份有限公司
25,保定天威英利新能源有限公司
26,山东山水水泥集团有限公司
27,四川圣达集团有限公司
28,亚邦投资控股集团有限公司
29,云南云维股份有限公司
30,上海云峰(集团)有限公司
31,南京雨润食品有限公司
32,东北特殊钢集团股份有限公司
33,金安桥水电站有限公司
34,中煤集团山西华昱能源有限公司
35,春和集团有限公司
36,内蒙古霍林河煤业集团有限责任公司
37,山东新查庄矿业有限责任公司
38,河北融投控股集团有限公司
39,英利能源(中国)有限公司
40,武汉国裕物流产业集团有限公司
41,四川省煤炭产业集团有限责任公司
42,重庆市福星门业(集团)有限公司
43,云南省国有资本运营有限公司
44,柳州化工股份有限公司
45,信阳市弘昌管道燃气工程有限责任公司
46,鄂尔多斯市益通路桥有限公司
47,华盛江泉集团有限公司
48,万正投资集团有限公司
49,中国城市建设控股集团有限公司
50,内蒙古博源控股集团有限公司
51,大连机床集团有限责任公司
52,渤海钢铁集团(天津)融资租赁有限公司
53,河南大用实业有限公司等8家企业
54,中安科股份有限公司
55,五洋建设集团股份有限公司
56,深圳茂业商厦有限公司
57,丹东港集团有限公司
58,山东金茂纺织化工集团有限公司
59,亿阳集团股份有限公司
60,山东玖龙海洋产业股份有限公司
61,新光控股集团有限公司
62,江苏保千里视像科技集团股份有限公司
63,富贵鸟股份有限公司
64,庆汇租赁有限公司等四家企业
65,新疆金特钢铁股份有限公司
66,广西柳州市产业投资发展集团有限公司
67,中弘控股股份有限公司
68,上海华信国际集团有限公司
69,洛娃科技实业集团有限公司
70,东方金钰股份有限公司
71,安徽盛运环保(集团)股份有限公司
72,哈尔滨工大高新技术产业开发股份有限公司
73,天广中茂股份有限公司
74,海航投资集团股份有限公司
75,云南路桥股份有限公司
76,同益实业集团有限公司
77,内蒙古圣牧高科牧业有限公司
78,中融新大集团有限公司
79,湖北宜化化工股份有限公司
80,天津市房地产发展(集团)股份有限公司
81,湖北宜化集团有限责任公司
82,浙江盾安人工环境股份有限公司
83,无锡五洲国际装饰城有限公司
84,现代牧业(集团)有限公司
85,三胞集团有限公司
86,力帆实业(集团)股份有限公司
87,华南国际工业原料城(深圳)有限公司
88,永泰集团有限公司
89,盾安控股集团有限公司
90,神雾科技集团股份有限公司
91,北京三聚环保新材料股份有限公司
92,西王集团有限公司
93,金鸿控股集团股份有限公司
94,洲际油气股份有限公司
95,东旭集团有限公司
96,山东玉皇化工有限公司
97,乐视网信息技术(北京)股份有限公司
98,北京信威通信技术股份有限公司
99,北京信威科技集团股份有限公司
100,雏鹰农牧集团股份有限公司
101,吉林利源精制股份有限公司
102,洪业化工集团股份有限公司
103,印纪娱乐传媒股份有限公司
